info,flow,for,src,dir,des, ,Packet
DEBUG:forwarding.l2_learning:installing,flow,for,4a:49:d9:c6:f8:1c.1,->,e6:42:81:ac:15:ff.4,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,e6:42:81:ac:15:ff.4,->,4a:49:d9:c6:f8:1c.1,,::ACK_found
DEBUG:forwarding.l2_learning:installing,flow,for,e6:42:81:ac:15:ff.4,->,4a:49:d9:c6:f8:1c.1,,::ACK_found
DEBUG:forwarding.l2_learning:installing,flow,for,4a:49:d9:c6:f8:1c.1,->,fa:b6:e1:47:d6:3b.2,,::,
DEBUG:forwarding.l2_learning:installing,flow,for,fa:b6:e1:47:d6:3b.2,->,4a:49:d9:c6:f8:1c.1,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,4a:49:d9:c6:f8:1c.1,->,fa:b6:e1:47:d6:3b.2,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,4a:49:d9:c6:f8:1c.1,->,fa:b6:e1:47:d6:3b.2,,::,
DEBUG:forwarding.l2_learning:installing,flow,for,fa:b6:e1:47:d6:3b.2,->,4a:49:d9:c6:f8:1c.1,,::,
DEBUG:forwarding.l2_learning:installing,flow,for,e6:42:81:ac:15:ff.4,->,4a:49:d9:c6:f8:1c.1,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,4a:49:d9:c6:f8:1c.1,->,e6:42:81:ac:15:ff.4,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,e6:42:81:ac:15:ff.4,->,4a:49:d9:c6:f8:1c.1,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,4a:49:d9:c6:f8:1c.1,->,e6:42:81:ac:15:ff.4,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,fa:b6:e1:47:d6:3b.2,->,4a:49:d9:c6:f8:1c.1,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,4a:49:d9:c6:f8:1c.1,->,fa:b6:e1:47:d6:3b.2,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,4a:49:d9:c6:f8:1c.1,->,ba:3a:ea:9f:b5:c2.3,,::,
DEBUG:forwarding.l2_learning:installing,flow,for,ba:3a:ea:9f:b5:c2.3,->,4a:49:d9:c6:f8:1c.1,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,4a:49:d9:c6:f8:1c.1,->,ba:3a:ea:9f:b5:c2.3,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,fa:b6:e1:47:d6:3b.2,->,4a:49:d9:c6:f8:1c.1,,::,
DEBUG:forwarding.l2_learning:installing,flow,for,4a:49:d9:c6:f8:1c.1,->,fa:b6:e1:47:d6:3b.2,,::,
DEBUG:forwarding.l2_learning:installing,flow,for,4a:49:d9:c6:f8:1c.1,->,ba:3a:ea:9f:b5:c2.3,,::,
DEBUG:forwarding.l2_learning:installing,flow,for,ba:3a:ea:9f:b5:c2.3,->,4a:49:d9:c6:f8:1c.1,,::,
DEBUG:forwarding.l2_learning:installing,flow,for,ba:3a:ea:9f:b5:c2.3,->,4a:49:d9:c6:f8:1c.1,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,4a:49:d9:c6:f8:1c.1,->,ba:3a:ea:9f:b5:c2.3,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,ba:3a:ea:9f:b5:c2.3,->,4a:49:d9:c6:f8:1c.1,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,4a:49:d9:c6:f8:1c.1,->,ba:3a:ea:9f:b5:c2.3,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,ba:3a:ea:9f:b5:c2.3,->,4a:49:d9:c6:f8:1c.1,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,4a:49:d9:c6:f8:1c.1,->,ba:3a:ea:9f:b5:c2.3,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,ba:3a:ea:9f:b5:c2.3,->,4a:49:d9:c6:f8:1c.1,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,4a:49:d9:c6:f8:1c.1,->,ba:3a:ea:9f:b5:c2.3,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,ba:3a:ea:9f:b5:c2.3,->,4a:49:d9:c6:f8:1c.1,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,4a:49:d9:c6:f8:1c.1,->,ba:3a:ea:9f:b5:c2.3,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,ba:3a:ea:9f:b5:c2.3,->,4a:49:d9:c6:f8:1c.1,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,4a:49:d9:c6:f8:1c.1,->,ba:3a:ea:9f:b5:c2.3,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,ba:3a:ea:9f:b5:c2.3,->,4a:49:d9:c6:f8:1c.1,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,4a:49:d9:c6:f8:1c.1,->,ba:3a:ea:9f:b5:c2.3,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,ba:3a:ea:9f:b5:c2.3,->,4a:49:d9:c6:f8:1c.1,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,ba:3a:ea:9f:b5:c2.3,->,4a:49:d9:c6:f8:1c.1,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,ba:3a:ea:9f:b5:c2.3,->,4a:49:d9:c6:f8:1c.1,,::,
DEBUG:forwarding.l2_learning:installing,flow,for,4a:49:d9:c6:f8:1c.1,->,ba:3a:ea:9f:b5:c2.3,,::,
DEBUG:forwarding.l2_learning:installing,flow,for,4a:49:d9:c6:f8:1c.1,->,ba:3a:ea:9f:b5:c2.3,,::,
DEBUG:forwarding.l2_learning:installing,flow,for,ba:3a:ea:9f:b5:c2.3,->,4a:49:d9:c6:f8:1c.1,,::,
DEBUG:forwarding.l2_learning:installing,flow,for,fa:b6:e1:47:d6:3b.2,->,4a:49:d9:c6:f8:1c.1,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,ba:3a:ea:9f:b5:c2.3,->,4a:49:d9:c6:f8:1c.1,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,e6:42:81:ac:15:ff.4,->,4a:49:d9:c6:f8:1c.1,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,fa:b6:e1:47:d6:3b.2,->,4a:49:d9:c6:f8:1c.1,,::,
DEBUG:forwarding.l2_learning:installing,flow,for,4a:49:d9:c6:f8:1c.1,->,fa:b6:e1:47:d6:3b.2,,::,
DEBUG:forwarding.l2_learning:installing,flow,for,ba:3a:ea:9f:b5:c2.3,->,4a:49:d9:c6:f8:1c.1,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,e6:42:81:ac:15:ff.4,->,4a:49:d9:c6:f8:1c.1,,::,
DEBUG:forwarding.l2_learning:installing,flow,for,4a:49:d9:c6:f8:1c.1,->,e6:42:81:ac:15:ff.4,,::,
DEBUG:forwarding.l2_learning:installing,flow,for,ba:3a:ea:9f:b5:c2.3,->,4a:49:d9:c6:f8:1c.1,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,ba:3a:ea:9f:b5:c2.3,->,4a:49:d9:c6:f8:1c.1,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,ba:3a:ea:9f:b5:c2.3,->,4a:49:d9:c6:f8:1c.1,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,ba:3a:ea:9f:b5:c2.3,->,4a:49:d9:c6:f8:1c.1,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,ba:3a:ea:9f:b5:c2.3,->,4a:49:d9:c6:f8:1c.1,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,ba:3a:ea:9f:b5:c2.3,->,4a:49:d9:c6:f8:1c.1,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,ba:3a:ea:9f:b5:c2.3,->,4a:49:d9:c6:f8:1c.1,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,fa:b6:e1:47:d6:3b.2,->,4a:49:d9:c6:f8:1c.1,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,ba:3a:ea:9f:b5:c2.3,->,4a:49:d9:c6:f8:1c.1,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,ba:3a:ea:9f:b5:c2.3,->,4a:49:d9:c6:f8:1c.1,,::SYN_found
DEBUG:forwarding.l2_learning:installing,flow,for,e6:42:81:ac:15:ff.4,->,4a:49:d9:c6:f8:1c.1,,::SYN_found
